"","X.","path_length_microns","date","cell","condition","timepoint"
"126","Path (4) [L:17.255µm]",17.25455506,"plated_03-06-23","WT","wt_009","1"
"127","Path (5) [L:19.666µm]",19.66632996,"plated_03-06-23","WT","wt_009","1"
"128","Path (6) [L:16.329µm]",16.32907166,"plated_03-06-23","WT","wt_009","1"
"129","Path (7) [L:6.451µm]",6.451303508,"plated_03-06-23","WT","wt_009","1"
"130","Path (8) [L:14.870µm]",14.87025492,"plated_03-06-23","WT","wt_009","1"
"131","Path (9) [L:4.539µm]",4.538884075,"plated_03-06-23","WT","wt_009","1"
"132","Root centroid [L:0.000µm]",0,"plated_03-06-23","WT","wt_009","1"
"133","Root centroid [L:0.000µm]",0,"plated_03-06-23","WT","wt_010","1"
"134","Path (1) [L:30.580µm]",30.58003846,"plated_03-06-23","WT","wt_010","1"
"135","Path (2) [L:3.030µm]",3.030389608,"plated_03-06-23","WT","wt_010","1"
"136","Path (3) [L:4.529µm]",4.529408366,"plated_03-06-23","WT","wt_010","1"
"137","Path (4) [L:1.964µm]",1.963722942,"plated_03-06-23","WT","wt_010","1"
"138","Path (5) [L:1.798µm]",1.798037517,"plated_03-06-23","WT","wt_010","1"
"139","Path (6) [L:3.508µm]",3.508494467,"plated_03-06-23","WT","wt_010","1"
"140","Path (7) [L:1.798µm]",1.798037517,"plated_03-06-23","WT","wt_010","1"
"141","Path (8) [L:3.086µm]",3.085618083,"plated_03-06-23","WT","wt_010","1"
"142","Path (9) [L:5.482µm]",5.481693116,"plated_03-06-23","WT","wt_010","1"
"143","Path (10) [L:2.244µm]",2.243790283,"plated_03-06-23","WT","wt_010","1"
"144","Path (11) [L:1.343µm]",1.342809042,"plated_03-06-23","WT","wt_010","1"
"145","Path (12) [L:0.699µm]",0.699018758,"plated_03-06-23","WT","wt_010","1"
"146","Root centroid [L:0.000µm]",0,"plated_03-06-23","WT","wt_010","1"
